acteurs,annee,description,duree,genre,pays,public,score,titre
,1989,Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,6h 24m,Adventure,United States,TV-14,8.7,Lonesome Dove
,2004–2005,A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,24m,Animation,Japan,TV-14,8.7,Monster
"John DiMaggio,Jeremy Shada,Tom Kenny",2010–2018,"A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",11m,Animation,United States,TV-PG,8.6,Adventure Time
"Arun Govil,Sunil Lahri,Deepika Chikhalia",1987–1988,"An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",30m,Adventure,India,TV-14,9.0,Ramayan
"Geraldine James,Amybeth McNulty,R.H. Thomson",2017–2019,"The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.",1h,Drama,Canada,TV-PG,8.7,Anne with an E
"Olly Alexander,Shaun Dooley,Nathaniel Curtis",2021,"A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",3h 59m,Comedy,United Kingdom,TV-MA,8.7,It's a Sin
"Vincent D'Onofrio,Deborah Ann Woll,Charlie Cox",2015–2018,"A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54m,Action,United States,TV-MA,8.6,Daredevil
,1986,"In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",2h 56m,Comedy,United Kingdom,TV-PG,8.6,Blackadder II
,2015– ,"A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",3h,Adventure,United States,TV-14,9.3,Critical Role
,2006–2008,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24m,Animation,Japan,TV-14,8.7,Code Geass
"Sofia Helin,Rafael Pettersson,Sarah Boberg",2011–2018,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer.",1h,Crime,Sweden,TV-MA,8.6,The Bridge
"Brian Tyree Henry,LaKeith Stanfield,Donald Glover",2016–2022,"Earn and his cousin Alfred, based in Atlanta, try to make their way in the world through the rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status, and parenthood.",30m,Comedy,United States,TV-MA,8.6,Atlanta
,2015,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",4h 39m,Documentary,United States,TV-14,8.6,The Jinx: The Life and Deaths of Robert Durst
"Laëtitia Eïdo,Aaron LaPlante,Fred Tatasciore",2019– ,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22m,Animation,United States,TV-MA,8.7,Primal
"Gillian Anderson,David Duchovny,Mitch Pileggi",1993–2018,"Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.",45m,Crime,United States,TV-14,8.6,The X-Files
"David Zayas,Michael C. Hall,Jennifer Carpenter",2006–2013,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them.",53m,Crime,United States,TV-MA,8.7,Dexter
"Junko Takeuchi,Alexandre Crepet,Maile Flanagan",2007–2017,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village.",24m,Animation,Japan,TV-PG,8.7,Naruto: Shippuden
"Jim O'Heir,Nick Offerman,Amy Poehler",2009–2015,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22m,Comedy,United States,TV-14,8.6,Parks and Recreation
"Masakazu Morita,Takayuki Sugô,Johnny Yong Bosch",2022– ,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town.",24m,Animation,Japan,TV-MA,9.0,Bleach: Thousand-Year Blood War
"Timothy Olyphant,Ian McShane,Molly Parker",2004–2006,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55m,Crime,United States,TV-MA,8.6,Deadwood
"Mandy Moore,Sterling K. Brown,Milo Ventimiglia",2016–2022,"A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.",45m,Comedy,United States,TV-14,8.7,This Is Us
,1995–1998,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25m,Comedy,United Kingdom,TV-14,8.7,Father Ted
"Claire Foy,Olivia Colman,Imelda Staunton",2016–2023,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the 20th century.,58m,Biography,United Kingdom,TV-MA,8.6,The Crown
"Naveen Kasturia,Abhilash Thapliyal,Shivankit Singh Parihar",2021– ,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,,Drama,India,,9.2,Aspirants
,2010–2019,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats.",1h 30m,Crime,Turkey,TV-14,8.9,Behzat Ç.: Bir Ankara Polisiyesi
"Martin Compston,Adrian Dunbar,Vicky McClure",2012–2021,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",1h,Crime,United Kingdom,TV-14,8.7,Line of Duty
"Chris Addison,James Smith,Peter Capaldi",2005–2012,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29m,Comedy,United Kingdom,TV-MA,8.7,The Thick of It
"Sam Elliott,Tim McGraw,Faith Hill",2021–2022,Follows the Dutton family as they embark on a journey west.,1h,Drama,United States,TV-MA,8.7,1883
,1988–1990,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",45m,Adventure,India,TV-14,9.0,Mahabharat
"Kevin Conroy,George Newbern,Phil LaMarr",2004–2006,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,23m,Animation,United States,TV-Y7-FV,8.7,Justice League Unlimited
"Robin Wright,Michel Gill,Kevin Spacey",2013–2018,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51m,Drama,United States,TV-MA,8.7,House of Cards
,2002– ,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",1h,Adventure,United Kingdom,TV-PG,8.7,Top Gear
,2016– ,"Jeremy, Richard and James embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",1h,Comedy,United Kingdom,TV-14,8.7,The Grand Tour
"Connie Britton,Zach Gilford,Kyle Chandler",2006–2011,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44m,Drama,United States,TV-14,8.7,Friday Night Lights
"Michael Zegen,Rachel Brosnahan,Alex Borstein",2017–2023,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",57m,Comedy,United States,TV-MA,8.7,The Marvelous Mrs. Maisel
"Rosalie Williams,Jeremy Brett,David Burke",1984–1985,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",1h,Crime,United Kingdom,TV-PG,8.7,The Adventures of Sherlock Holmes
"Brent Spiner,Patrick Stewart,Jonathan Frakes",1987–1994,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers sets off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44m,Action,United States,TV-PG,8.7,Star Trek: The Next Generation
"Nobutoshi Canna,Marc Diraison,Carrie Keranen",1997–1998,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",23m,Animation,Japan,TV-MA,8.7,Berserk
"Elisabeth Moss,Vincent Kartheiser,Jon Hamm",2007–2015,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47m,Drama,United States,TV-MA,8.7,Mad Men
,2016–2024,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51m,Drama,United States,TV-14,8.7,Stranger Things
,2004–2017,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Mumbai, whose daughter-in-law is from a middle class Delhi background.",30m,Comedy,India,TV-PG,9.0,Sarabhai V/S Sarabhai
,2019– ,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,24m,Animation,Japan,TV-MA,8.8,Vinland Saga
"Matt King,David Mitchell,Robert Webb",2003–2015,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25m,Comedy,United Kingdom,TV-MA,8.7,Peep Show
"Phyllis Logan,Elizabeth McGovern,Hugh Bonneville",2010–2015,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58m,Drama,United Kingdom,TV-PG,8.7,Downton Abbey
"Zach Cherry,Britt Lower,Adam Scott",2022– ,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",55m,Drama,United States,TV-MA,8.7,Severance
"Sandra Oh,Steven Yeun,J.K. Simmons",2021– ,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,50m,Animation,United States,TV-MA,8.7,Invincible
,2020– ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",35m,Comedy,India,TV-14,8.9,Panchayat
"Omar Epps,Robert Sean Leonard,Hugh Laurie",2004–2012,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44m,Drama,United States,TV-14,8.7,House
"Walton Goggins,Michael Chiklis,Michael Jace",2002–2008,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.,47m,Crime,United States,TV-MA,8.7,The Shield
"Edward James Olmos,Jamie Bamber,Mary McDonnell",2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44m,Action,United States,TV-14,8.7,Battlestar Galactica
,2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24m,Animation,Japan,TV-PG,8.7,One Punch Man
"Harry Shearer,Nancy Cartwright,Dan Castellaneta",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,22m,Animation,United States,TV-14,8.7,The Simpsons
"Jameel Khan,Vaibhav Raj Gupta,Geetanjali Kulkarni",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",,Comedy,India,,9.1,Gullak
"Pedro Pascal,Katee Sackhoff,Chris Bartlett",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40m,Action,United States,TV-14,8.7,The Mandalorian
"Sian Clifford,Phoebe Waller-Bridge,Olivia Colman",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27m,Comedy,United Kingdom,TV-MA,8.7,Fleabag
"Karl Urban,Jack Quaid,Antony Starr",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,1h,Action,United States,TV-MA,8.7,The Boys
,2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24m,Animation,Japan,TV-14,8.8,Steins;Gate
"Michael Cera,Portia de Rossi,Jason Bateman",2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22m,Comedy,United States,TV-14,8.7,Arrested Development
"Hannah Waddingham,Jason Sudeikis,Brett Goldstein",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",30m,Comedy,United States,TV-MA,8.8,Ted Lasso
"Lisa Vicari,Louis Hofmann,Karoline Eichhorn",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",1h,Crime,Germany,TV-MA,8.7,Dark
"Cillian Murphy,Paul Anderson,Sophie Rundle",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",1h,Crime,United Kingdom,TV-MA,8.8,Peaky Blinders
"Ray Stevenson,Kevin McKidd,Polly Walker",2005–2007,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,52m,Action,United Kingdom,TV-MA,8.7,Rome
"Peter Krause,Michael C. Hall,Frances Conroy",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,1h,Comedy,United States,TV-MA,8.7,Six Feet Under
"Ernie Hudson,Lee Tergesen,J.K. Simmons",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55m,Crime,United States,TV-MA,8.7,Oz
"Ranjan Raj,Jitendra Kumar,Mayur More",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",45m,Comedy,India,TV-14,9.0,Kota Factory
"Matt Stone,Trey Parker,Isaac Hayes",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22m,Animation,United States,TV-14,8.7,South Park
"Collin Dean,Melanie Lynskey,Elijah Wood",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,22m,Animation,United States,TV-PG,8.8,Over the Garden Wall
,1976,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",11h 9m,Biography,United Kingdom,Not Rated,8.8,"I, Claudius"
,1989–1996,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",24m,Animation,Japan,TV-PG,8.8,Dragon Ball Z
"Tony Beck,Mayumi Tanaka,Laurent Vernin",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",24m,Animation,Japan,TV-14,8.9,One Piece
,1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24m,Animation,Japan,TV-PG,8.8,Dragon Ball Z
"Rudy Rush,Donnell Rawlings,Dave Chappelle",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22m,Comedy,United States,TV-MA,8.8,Chappelle's Show
"Pedro Pascal,Wagner Moura,Boyd Holbrook",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49m,Biography,United States,TV-MA,8.8,Narcos
"Daniel Lapaine,Hannah John-Kamen,Michaela Coel",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",1h,Drama,United Kingdom,TV-MA,8.8,Black Mirror
"Will Arnett,Alison Brie,Amy Sedaris",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25m,Animation,United States,TV-MA,8.8,BoJack Horseman
"Mädchen Amick,Michael Ontkean,Kyle MacLachlan",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47m,Crime,United States,TV-MA,8.8,Twin Peaks
,1989,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",2h 55m,Comedy,United Kingdom,TV-PG,8.8,Blackadder Goes Forth
"John Francis Daley,James Franco,Linda Cardellini",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44m,Comedy,United States,TV-14,8.8,Freaks and Geeks
,1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30m,Comedy,United Kingdom,TV-PG,8.8,Fawlty Towers
,1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",5h 27m,Drama,United Kingdom,TV-PG,8.8,Pride and Prejudice
"Nicholas Braun,Kieran Culkin,Brian Cox",2018–2023,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",1h,Comedy,United States,TV-MA,8.8,Succession
,2011–2023,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",1h 20m,Adventure,Turkey,TV-PG,9.1,Leyla and Mecnun
"Larry David,Jeff Garlin,Cheryl Hines",2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28m,Comedy,United States,TV-MA,8.8,Curb Your Enthusiasm
"Allison Janney,Martin Sheen,Rob Lowe",1999–2006,Inside the lives of staffers in the West Wing of the White House.,44m,Drama,United States,TV-14,8.9,The West Wing
,1985,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,4h 53m,Drama,West Germany,TV-MA,8.8,Das Boot
"Pedro Pascal,Bella Ramsey,Anna Torv",2023– ,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.",50m,Action,Canada,TV-MA,8.9,The Last of Us
,2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47m,Comedy,United Kingdom,TV-14,9.0,Taskmaster
,2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,,Comedy,Turkey,,9.0,As If
,2013,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",6h,Documentary,United Kingdom,TV-PG,8.9,Africa
"Naveen Kasturia,Arunabh Kumar,Abhay Mahajan",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40m,Comedy,India,TV-MA,9.1,TVF Pitchers
"John Cleese,Graham Chapman,Terry Gilliam",1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,30m,Comedy,United Kingdom,TV-14,8.8,Monty Python's Flying Circus
"Lisa Kudrow,Courteney Cox,Jennifer Aniston",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22m,Comedy,United States,TV-14,8.9,Friends
,2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",5h 12m,Documentary,France,TV-MA,9.0,Apocalypse: The Second World War
,2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30m,Comedy,United States,TV-MA,8.9,Last Week Tonight with John Oliver
"Kaitlin Olson,Charlie Day,Rob McElhenney",2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22m,Comedy,United States,TV-MA,8.8,It's Always Sunny in Philadelphia
"Ethan Herisse,Asante Blackk,Caleel Harris",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,4h 56m,Biography,United States,TV-MA,8.9,When They See Us
"Alex Hirsch,Kristen Schaal,Jason Ritter",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23m,Animation,United States,TV-Y7,8.9,Gravity Falls
"Anthony Filosa,Nathan Fielder,Salomon Flores",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30m,Documentary,United States,TV-14,8.9,Nathan for You
"Martin Freeman,Allison Tolman,Billy Bob Thornton",2014–2023,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53m,Crime,United States,TV-MA,8.9,Fargo
"Megumi Hayashibara,Unshô Ishizuka,Kôichi Yamadera",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24m,Animation,Japan,TV-14,8.9,Cowboy Bebop
,2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',7h 48m,Documentary,United Kingdom,PG-13,9.0,The Beatles: Get Back
,2018,A man diagnosed with Alzheimer's decides to punish criminals.,1h 5m,Crime,Turkey,TV-MA,9.0,Persona
,1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",9h 32m,Drama,Poland,TV-MA,9.0,Dekalog
"Cristina Valenzuela,Megumi Han,Issei Futamata",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24m,Animation,Japan,TV-14,9.0,Hunter x Hunter
"Jerry Seinfeld,Michael Richards,Julia Louis-Dreyfus",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22m,Comedy,United States,TV-PG,8.9,Seinfeld
"Rachel McAdams,Colin Farrell,Vince Vaughn",2014– ,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55m,Crime,United States,TV-MA,8.9,True Detective
,1990,A comprehensive survey of the American Civil War.,11h 20m,Documentary,United States,TV-14,9.1,The Civil War
"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,1h 35m,Comedy,United Kingdom,TV-PG,9.0,Only Fools and Horses
,2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,23m,Animation,Japan,TV-14,9.0,Death Note
"Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46m,Crime,United States,TV-MA,8.9,Better Call Saul
,2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45m,Documentary,United Kingdom,TV-PG,9.0,Clarkson's Farm
"Jenna Fischer,Steve Carell,John Krasinski",2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22m,Comedy,United States,TV-14,9.0,The Office
,2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",6h 29m,Documentary,United Kingdom,TV-G,9.0,The Blue Planet
,2021– ,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",41m,Animation,United States,TV-14,9.0,Arcane
"Alan Tudyk,Gina Torres,Nathan Fillion",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44m,Adventure,United States,TV-14,9.0,Firefly
,2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,5h 33m,Documentary,United Kingdom,TV-PG,9.0,Frozen Planet
,2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50m,Documentary,United Kingdom,TV-PG,9.0,Human Planet
"Efrem Zimbalist Jr.,Kevin Conroy,Loren Lester",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23m,Animation,United States,TV-PG,9.0,Batman: The Animated Series
,2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54m,Biography,India,TV-14,9.3,Scam 1992: The Harshad Mehta Story
"Melanie Zanetti,David McCormack,Rico Romaniuk",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7m,Animation,Australia,TV-Y,9.5,Bluey
,2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24m,Animation,Japan,TV-MA,9.0,Attack on Titan
,2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,16h 30m,Documentary,United States,TV-MA,9.1,The Vietnam War
"Martin Freeman,Benedict Cumberbatch,Una Stubbs",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,1h 28m,Crime,United Kingdom,TV-14,9.1,Sherlock
"Jay Overholts,Rod Serling,Robert McCord",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51m,Drama,United States,TV-PG,9.1,The Twilight Zone
,2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",8h 11m,Documentary,United States,TV-MA,9.1,The Last Dance
,2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,7h 53m,Documentary,United Kingdom,TV-G,9.1,Life
